CREATE 291187
CREATE 931732
CREATE 694458
CREATE 638629
CREATE 749750
CREATE 238759
CREATE 886105
CREATE 762141
CREATE 517245
CREATE 642610
CREATE 203387
CREATE 491377
CREATE 369473
CREATE 521161
CREATE 899807
CREATE 515893
CREATE 181905
CREATE 384966
CREATE 457039
CREATE 595889
PRINT PREORDER
SALE 762141 29.20
SALE 694458 23.75
SALE 642610 2.28
SALE 642610 67.36
SALE 491377 42.93
SALE 931732 19.47
SALE 457039 24.50
SALE 521161 26.10
SALE 181905 73.20
SALE 181905 81.55
SALE 749750 27.65
SALE 886105 29.37
SALE 749750 95.25
SALE 899807 67.44
SALE 638629 50.78
SALE 181905 78.84
SALE 638629 51.49
SALE 369473 60.68
SALE 595889 12.66
SALE 899807 39.50
SALE 899807 78.71
SALE 384966 2.72
SALE 369473 56.10
SALE 886105 41.59
SALE 749750 19.09
SALE 491377 17.71
SALE 931732 75.97
SALE 762141 56.73
SALE 886105 65.63
SALE 595889 24.81
SALE 369473 29.39
SALE 203387 68.85
SALE 291187 49.63
SALE 457039 45.61
SALE 931732 55.98
SALE 749750 28.10
SALE 521161 0.44
SALE 749750 14.76
SALE 638629 91.75
SALE 595889 36.21
SALE 384966 28.57
SALE 899807 21.85
SALE 642610 37.53
SALE 457039 28.31
SALE 517245 29.64
SALE 638629 63.38
SALE 886105 40.48
SALE 517245 88.97
SALE 384966 96.43
SALE 203387 83.09
SALE 369473 25.40
SALE 238759 39.46
SALE 642610 82.24
SALE 384966 7.54
SALE 517245 11.28
SALE 595889 43.68
SALE 291187 22.10
SALE 238759 1.10
SALE 457039 5.06
SALE 749750 26.25
SALE 517245 16.28
SALE 749750 37.24
SALE 291187 36.29
SALE 595889 50.81
SALE 521161 31.10
SALE 521161 94.03
SALE 595889 81.96
SALE 595889 73.38
SALE 203387 95.66
SALE 749750 40.04
SALE 181905 42.67
SALE 238759 56.98
SALE 762141 12.82
SALE 595889 9.60
SALE 694458 87.61
SALE 521161 72.15
SALE 595889 99.14
SALE 595889 11.07
SALE 238759 28.70
SALE 749750 58.04
SALE 694458 69.61
SALE 203387 84.22
SALE 369473 50.55
SALE 694458 99.02
SALE 457039 13.80
SALE 749750 90.91
SALE 595889 36.25
SALE 899807 4.99
SALE 521161 76.05
SALE 291187 42.94
SALE 521161 5.17
SALE 749750 13.14
SALE 886105 59.42
SALE 694458 6.41
SALE 694458 68.89
SALE 369473 8.88
SALE 181905 8.38
SALE 638629 33.38
SALE 203387 54.76
SALE 517245 29.06
PRINT INORDER
